filename,label0,label1,label2,label3,label4
captcha0.png,2,5,6,6,1
captcha1.png,5,1,0,9,0
captcha10.png,9,0,2,2,9
captcha100.png,1,5,4,0,4
captcha101.png,8,4,5,2,2
captcha102.png,1,2,5,5,1
captcha103.png,8,4,4,3,6
captcha104.png,2,6,8,0,6
captcha105.png,8,1,5,8,3
captcha106.png,4,8,7,0,6
captcha107.png,7,8,7,3,0
captcha108.png,6,2,9,6,1
captcha109.png,7,8,6,4,3
captcha11.png,4,9,9,9,0
captcha110.png,7,7,2,1,7
captcha111.png,1,9,5,8,7
captcha112.png,1,8,1,6,0
captcha113.png,2,8,9,6,5
captcha114.png,5,8,9,8,9
captcha115.png,5,7,5,6,3
captcha116.png,9,7,9,9,8
captcha117.png,9,6,5,7,1
captcha118.png,9,5,1,4,4
captcha119.png,3,7,5,1,5
captcha12.png,8,0,2,9,7
captcha120.png,3,6,0,8,8
captcha121.png,3,7,4,2,8
captcha122.png,8,4,5,6,1
captcha123.png,9,2,5,9,9
captcha124.png,7,6,8,3,1
captcha125.png,5,8,2,9,6
captcha126.png,7,3,9,7,8
captcha127.png,5,8,2,0,9
captcha128.png,3,2,0,3,0
captcha129.png,1,6,2,6,1
captcha13.png,2,2,9,5,0
captcha130.png,4,6,2,8,6
captcha131.png,3,0,5,1,7
captcha132.png,4,6,1,9,9
captcha133.png,5,4,2,3,7
captcha134.png,5,2,8,1,1
captcha135.png,3,7,0,4,2
captcha136.png,6,7,0,6,6
captcha137.png,5,1,2,9,8
captcha138.png,4,9,8,7,1
captcha139.png,9,7,0,0,4
captcha14.png,7,0,3,6,5
captcha140.png,2,5,0,3,2
captcha141.png,9,6,9,1,8
captcha142.png,9,5,4,9,1
captcha143.png,8,6,4,2,1
captcha144.png,7,0,6,5,2
captcha145.png,8,6,3,3,4
captcha146.png,1,4,3,6,3
captcha147.png,2,7,2,7,8
captcha148.png,2,8,6,1,8
captcha149.png,1,9,5,4,8
captcha15.png,1,3,0,1,8
captcha150.png,3,5,2,3,0
captcha151.png,7,7,4,8,5
captcha152.png,3,6,9,6,4
captcha153.png,8,4,0,9,7
captcha154.png,3,6,8,7,8
captcha155.png,6,6,9,0,2
captcha156.png,6,5,4,7,6
captcha157.png,4,9,7,0,7
captcha158.png,6,5,3,8,9
captcha159.png,9,5,4,1,3
captcha16.png,9,1,8,8,4
captcha160.png,2,0,3,8,5
captcha161.png,9,2,2,7,1
captcha162.png,5,1,7,5,0
captcha163.png,3,5,9,8,1
captcha164.png,6,6,0,0,5
captcha165.png,5,0,2,3,7
captcha166.png,2,4,0,5,7
captcha167.png,6,4,4,9,2
captcha168.png,9,4,5,1,6
captcha169.png,7,8,7,4,8
captcha17.png,3,7,3,0,3
captcha170.png,5,2,5,6,9
captcha171.png,3,6,8,0,0
captcha172.png,6,6,8,2,4
captcha173.png,8,2,5,0,6
captcha174.png,9,8,1,8,8
captcha175.png,5,7,6,6,7
captcha176.png,4,1,8,9,9
captcha177.png,7,1,9,2,3
captcha178.png,8,7,6,0,5
captcha179.png,7,1,8,3,6
captcha18.png,5,9,9,6,6
captcha180.png,7,0,4,1,0
captcha181.png,6,8,9,8,3
captcha182.png,8,4,6,6,5
captcha183.png,1,2,6,9,4
captcha184.png,9,8,9,2,1
captcha185.png,2,6,9,4,9
captcha186.png,5,6,9,7,3
captcha187.png,5,5,5,4,7
captcha188.png,5,6,8,8,7
captcha189.png,5,5,4,6,0
captcha19.png,1,9,7,2,8
captcha190.png,7,1,1,4,3
captcha191.png,1,3,5,1,3
captcha192.png,8,5,3,9,8
captcha193.png,2,7,7,6,8
captcha194.png,9,9,6,5,4
captcha195.png,9,8,2,2,7
captcha196.png,4,0,5,9,7
captcha197.png,2,4,8,2,9
captcha198.png,2,3,4,0,2
captcha199.png,5,3,4,2,6
captcha2.png,2,0,3,1,7
captcha20.png,1,8,5,8,4
captcha200.png,5,4,7,6,6
captcha201.png,8,4,7,9,1
captcha202.png,4,4,2,6,9
captcha203.png,5,9,9,5,2
captcha204.png,4,4,1,8,3
captcha205.png,7,4,2,0,7
captcha206.png,7,2,7,8,1
captcha207.png,2,5,5,6,1
captcha208.png,5,5,5,8,5
captcha209.png,1,5,0,6,4
captcha21.png,6,5,9,9,9
captcha210.png,1,3,6,3,8
captcha211.png,8,5,5,2,3
captcha212.png,2,7,8,9,3
captcha213.png,9,9,7,7,9
captcha214.png,9,8,3,5,2
captcha215.png,8,2,5,8,4
captcha216.png,5,6,4,0,5
captcha217.png,4,0,6,3,6
captcha218.png,7,0,6,6,0
captcha219.png,5,4,8,9,2
captcha22.png,4,0,1,0,2
captcha220.png,8,4,9,1,6
captcha221.png,6,9,1,4,7
captcha222.png,6,7,7,2,1
captcha223.png,5,1,9,5,2
captcha224.png,5,0,5,2,5
captcha225.png,8,0,5,5,0
captcha226.png,7,9,1,2,3
captcha227.png,6,0,2,9,8
captcha228.png,2,7,4,2,1
captcha229.png,5,7,4,4,5
captcha23.png,5,6,0,6,7
captcha230.png,4,1,6,7,7
captcha231.png,7,1,7,0,1
captcha232.png,1,3,7,8,1
captcha233.png,5,6,0,3,7
captcha234.png,8,3,9,5,1
captcha235.png,6,0,5,3,8
captcha236.png,7,3,4,5,4
captcha237.png,1,8,5,9,1
captcha238.png,7,3,3,6,7
captcha239.png,8,9,0,5,0
captcha24.png,8,6,3,7,4
captcha240.png,3,1,4,2,0
captcha241.png,4,7,1,0,2
captcha242.png,1,4,2,2,5
captcha243.png,4,4,2,4,9
captcha244.png,2,8,4,8,0
captcha245.png,4,4,1,6,2
captcha246.png,7,4,1,8,7
captcha247.png,8,9,8,6,9
captcha248.png,3,2,2,3,9
captcha249.png,1,6,4,7,0
captcha25.png,2,9,0,2,7
captcha250.png,7,1,2,4,7
captcha251.png,1,3,6,1,7
captcha252.png,8,5,5,0,3
captcha253.png,2,7,8,7,3
captcha254.png,7,8,0,9,9
captcha255.png,5,1,9,2,0
captcha256.png,9,2,3,5,4
captcha257.png,6,6,1,7,5
captcha258.png,1,8,9,5,6
captcha259.png,4,8,9,8,0
captcha26.png,2,0,2,3,9
captcha260.png,4,7,5,5,4
captcha261.png,4,6,1,2,7
captcha262.png,3,0,3,5,8
captcha263.png,6,0,3,8,3
captcha264.png,7,6,0,6,5
captcha265.png,4,3,1,8,7
captcha266.png,5,8,8,7,0
captcha267.png,4,0,3,3,4
captcha268.png,9,5,1,1,1
captcha269.png,4,5,1,2,5
captcha27.png,1,9,0,9,5
captcha270.png,7,5,1,4,9
captcha271.png,9,0,8,3,1
captcha272.png,5,7,9,5,4
captcha273.png,7,3,6,3,6
captcha274.png,8,9,3,1,8
captcha275.png,8,7,8,9,2
captcha276.png,5,5,0,1,5
captcha277.png,7,2,5,1,8
captcha278.png,6,6,2,1,4
captcha279.png,5,0,4,4,5
captcha28.png,4,9,4,0,1
captcha280.png,4,9,0,1,9
captcha281.png,4,7,5,9,2
captcha282.png,7,7,6,1,6
captcha283.png,9,9,1,2,8
captcha284.png,4,1,4,9,8
captcha285.png,5,7,1,8,1
captcha286.png,4,1,4,1,2
captcha287.png,5,7,0,9,4
captcha288.png,8,7,1,1,8
captcha289.png,7,1,3,5,0
captcha29.png,6,5,3,6,6
captcha290.png,6,9,9,2,3
captcha291.png,9,9,9,4,7
captcha292.png,2,7,9,7,6
captcha293.png,4,3,6,5,8
captcha294.png,4,2,2,3,1
captcha295.png,2,6,4,6,3
captcha296.png,5,6,4,8,7
captcha297.png,5,5,0,6,0
captcha298.png,3,9,2,9,2
captcha299.png,5,4,9,7,4
captcha3.png,8,2,0,7,4
captcha30.png,9,5,6,7,3
captcha300.png,5,3,5,4,7
captcha301.png,6,9,2,2,9
captcha302.png,9,9,2,5,3
captcha303.png,8,3,4,8,5
captcha304.png,8,6,6,4,6
captcha305.png,4,6,1,2,5
captcha306.png,2,7,5,9,0
captcha307.png,2,6,1,6,3
captcha308.png,8,0,9,4,0
captcha309.png,6,5,1,7,1
