filename,label0,label1,label2,label3,label4
captcha1000.png,9,5,3,4,0
captcha501.png,4,4,1,9,7
captcha502.png,6,1,6,9,4
captcha503.png,3,7,3,2,8
captcha504.png,4,0,4,8,3
captcha505.png,7,2,3,2,1
captcha506.png,5,0,7,2,3
captcha507.png,2,9,1,2,4
captcha508.png,9,2,4,1,3
captcha509.png,9,5,5,6,7
captcha510.png,7,1,2,0,2
captcha511.png,3,2,4,9,5
captcha512.png,6,7,1,0,0
captcha513.png,2,3,5,1,6
captcha514.png,7,2,4,6,3
captcha515.png,6,5,2,0,7
captcha516.png,9,9,8,1,2
captcha517.png,2,9,6,5,4
captcha518.png,2,2,3,9,7
captcha519.png,7,1,3,4,4
captcha520.png,3,2,6,3,7
captcha521.png,6,7,2,4,2
captcha522.png,2,8,5,3,5
captcha523.png,7,7,4,8,2
captcha524.png,9,4,9,7,8
captcha525.png,2,4,8,2,1
captcha526.png,8,8,1,1,0
captcha527.png,4,9,4,0,3
captcha528.png,5,2,5,5,7
captcha529.png,4,5,3,0,0
captcha530.png,7,9,9,0,5
captcha531.png,7,2,6,4,9
captcha532.png,3,3,9,4,2
captcha533.png,6,8,5,4,7
captcha534.png,4,4,1,8,2
captcha535.png,8,8,2,5,2
captcha536.png,9,8,1,0,4
captcha537.png,2,3,0,6,9
captcha538.png,3,2,9,2,2
captcha539.png,8,1,8,6,8
captcha540.png,6,0,2,7,0
captcha541.png,2,1,5,6,3
captcha542.png,1,7,0,7,3
captcha543.png,6,6,0,2,0
captcha544.png,5,8,7,6,4
captcha545.png,7,6,2,6,0
captcha546.png,2,3,2,1,1
captcha547.png,1,5,9,5,5
captcha548.png,8,2,0,1,1
captcha549.png,4,3,3,0,3
captcha550.png,7,7,9,0,8
captcha551.png,7,0,6,5,2
captcha552.png,4,9,0,5,4
captcha553.png,8,3,6,5,9
captcha554.png,2,0,1,9,9
captcha555.png,8,6,2,5,5
captcha556.png,5,0,3,1,4
captcha557.png,9,1,6,1,7
captcha558.png,5,2,9,1,0
captcha559.png,8,7,5,1,5
captcha560.png,6,5,9,1,7
captcha561.png,3,3,6,1,9
captcha562.png,9,9,6,7,4
captcha563.png,6,3,7,3,4
captcha564.png,5,6,4,7,8
captcha565.png,8,8,0,2,6
captcha566.png,4,9,3,1,9
captcha567.png,8,3,9,2,4
captcha568.png,1,5,5,8,8
captcha569.png,8,1,6,4,3
captcha570.png,4,2,9,3,6
captcha571.png,7,7,5,4,1
captcha572.png,5,3,1,7,6
captcha573.png,3,1,5,7,8
captcha574.png,8,0,5,2,5
captcha575.png,6,8,3,9,1
captcha576.png,4,6,7,9,3
captcha577.png,8,1,3,9,8
captcha578.png,4,2,6,9,1
captcha579.png,6,0,1,8,7
captcha580.png,3,5,8,2,2
captcha581.png,7,0,4,2,7
captcha582.png,8,0,2,7,9
captcha583.png,2,7,2,3,0
captcha584.png,4,0,1,4,6
