filename,label0,label1,label2,label3,label4
captcha5000.png,3,5,5,0,7
captcha5001.png,1,2,3,7,8
captcha5002.png,9,1,2,4,4
captcha5003.png,6,5,3,4,7
captcha5004.png,4,2,2,1,7
captcha5005.png,3,5,9,1,5
captcha5006.png,9,7,6,7,2
captcha5007.png,5,7,4,3,4
captcha5008.png,7,3,3,9,9
captcha5009.png,8,1,7,1,9
captcha5010.png,4,1,4,8,1
captcha5011.png,3,2,6,9,3
captcha5012.png,8,0,1,0,8
captcha5013.png,3,9,8,7,0
captcha5014.png,3,1,0,8,2
captcha5015.png,9,2,8,3,9
captcha5016.png,2,1,1,5,0
captcha5017.png,2,0,0,0,6
captcha5018.png,8,1,7,6,3
captcha5019.png,4,1,5,2,5
captcha5020.png,3,2,7,3,7
captcha5021.png,5,8,1,6,6
captcha5022.png,1,7,9,2,8
captcha5023.png,7,9,6,8,5
captcha5024.png,2,5,1,0,5
captcha5025.png,7,2,5,2,0
captcha5026.png,1,5,1,7,3
captcha5027.png,9,4,0,3,9
captcha5028.png,6,8,1,4,2
captcha5029.png,2,7,9,0,4
captcha5030.png,4,3,8,6,9
captcha5031.png,3,5,0,8,1
captcha5032.png,8,2,4,9,6
captcha5033.png,4,2,2,5,7
captcha5034.png,4,1,1,1,3
captcha5035.png,1,5,2,1,7
captcha5036.png,7,9,7,4,1
captcha5037.png,3,9,5,0,2
captcha5038.png,6,9,8,0,9
captcha5039.png,9,2,4,7,2
captcha5040.png,2,0,7,8,3
captcha5041.png,6,8,1,9,8
captcha5042.png,4,2,3,0,1
captcha5043.png,1,9,1,7,2
captcha5044.png,9,8,0,3,8
captcha5045.png,2,6,3,4,8
captcha5046.png,1,7,5,6,1
captcha5047.png,1,6,4,1,7
captcha5048.png,6,1,0,6,5
captcha5049.png,8,6,4,9,5
captcha5050.png,2,9,1,4,7
captcha5051.png,5,9,4,5,4
captcha5052.png,5,8,3,1,0
captcha5053.png,5,7,1,6,6
captcha5054.png,8,7,4,7,3
captcha5055.png,6,1,5,7,6
captcha5056.png,3,0,2,2,4
captcha5057.png,7,4,8,7,2
captcha5058.png,1,7,5,2,5
captcha5059.png,3,3,4,9,0
captcha5060.png,3,2,3,4,6
captcha5061.png,9,4,1,0,3
captcha5062.png,3,6,7,5,6
captcha5063.png,6,7,0,6,2
captcha5064.png,5,1,5,7,7
captcha5065.png,2,5,6,8,0
captcha5066.png,5,5,9,8,7
captcha5067.png,8,6,2,9,3
captcha5068.png,8,5,1,4,9
captcha5069.png,1,3,4,6,0
captcha5070.png,4,3,7,6,7
captcha5071.png,1,7,8,7,0
captcha5072.png,6,5,2,8,6
captcha5073.png,6,4,1,4,2
captcha5074.png,3,8,2,4,5
captcha5075.png,6,8,5,5,2
captcha5076.png,2,8,3,1,3
captcha5077.png,2,7,1,6,9
captcha5078.png,5,7,4,7,6
captcha5079.png,7,3,4,4,0
captcha5080.png,3,0,4,3,5
captcha5081.png,1,4,9,4,9
captcha5082.png,7,6,7,0,7
captcha5083.png,6,3,0,4,2
captcha5084.png,6,1,8,9,8
captcha5085.png,3,6,0,0,1
captcha5086.png,6,6,3,0,8
captcha5087.png,9,6,6,1,4
captcha5088.png,5,6,3,7,6
captcha5089.png,5,5,2,3,2
captcha5090.png,7,1,1,9,6
captcha5091.png,6,2,4,0,9
captcha5092.png,3,6,5,1,2
captcha5093.png,5,2,4,7,7
captcha5094.png,5,1,3,3,3
captcha5095.png,8,1,6,3,9
captcha5096.png,2,4,2,9,2
captcha5097.png,5,4,5,9,9
captcha5098.png,5,3,4,5,5
captcha5099.png,2,7,5,5,8
captcha5100.png,5,7,8,6,5
captcha5101.png,8,8,1,7,2
captcha5102.png,7,2,6,8,6
captcha5103.png,1,5,3,3,8
captcha5104.png,5,9,9,8,7
captcha5105.png,5,8,8,4,3
captcha5106.png,7,4,8,0,8
captcha5107.png,4,8,9,1,1
captcha5108.png,6,4,8,7,6
captcha5109.png,2,4,6,3,7
captcha5110.png,8,6,3,9,5
captcha5111.png,8,5,2,5,1
captcha5112.png,4,5,0,1,2
captcha5113.png,7,5,3,1,9
captcha5114.png,1,7,9,7,1
captcha5115.png,1,6,8,2,7
captcha5116.png,6,1,4,7,6
captcha5117.png,6,0,3,3,2
captcha5118.png,2,0,0,9,3
captcha5119.png,1,8,9,4,9
captcha5120.png,4,9,2,5,6
captcha5121.png,4,8,1,1,2
captcha5122.png,9,2,7,6,1
captcha5123.png,7,7,2,7,5
captcha5124.png,3,2,4,5,5
captcha5125.png,4,8,4,2,0
captcha5126.png,4,7,2,7,6
captcha5127.png,9,1,9,2,5
captcha5128.png,7,6,4,3,9
captcha5129.png,1,9,0,9,2
captcha5130.png,8,0,8,4,9
captcha5131.png,9,6,8,1,4
captcha5132.png,5,3,8,0,8
captcha5133.png,6,9,7,7,3
captcha5134.png,1,2,4,2,6
captcha5135.png,2,8,3,9,0
captcha5136.png,9,0,1,4,8
captcha5137.png,8,9,0,0,4
captcha5138.png,4,8,7,6,5
captcha5139.png,9,3,4,1,4
captcha5140.png,7,7,9,2,8
captcha5141.png,5,2,0,3,1
captcha5142.png,6,0,3,5,2
captcha5143.png,6,8,6,7,3
captcha5144.png,6,1,1,2,7
captcha5145.png,3,0,3,5,3
captcha5146.png,1,6,6,8,8
captcha5147.png,6,4,1,0,4
captcha5148.png,2,3,8,6,5
captcha5149.png,5,4,1,7,2
captcha5150.png,8,4,4,7,9
captcha5151.png,1,2,7,8,9
captcha5152.png,4,3,0,9,6
captcha5153.png,1,7,1,9,9
captcha5154.png,4,7,5,0,6
captcha5155.png,6,3,4,7,1
captcha5156.png,6,2,3,2,7
captcha5157.png,8,5,3,1,6
captcha5158.png,9,3,8,0,2
captcha5159.png,3,6,4,5,5
captcha5160.png,5,2,4,2,0
captcha5161.png,5,1,2,7,6
captcha5162.png,9,5,9,2,5
captcha5163.png,3,8,5,7,7
captcha5164.png,3,7,4,3,3
captcha5165.png,3,6,2,8,9
captcha5166.png,9,8,0,4,7
captcha5167.png,2,6,3,5,7
captcha5168.png,8,8,1,1,5
captcha5169.png,7,2,6,2,9
captcha5170.png,4,6,7,3,2
captcha5171.png,7,7,0,3,9
captcha5172.png,1,9,6,9,2
captcha5173.png,1,8,5,4,8
captcha5174.png,3,1,7,4,6
captcha5175.png,4,7,7,1,0
captcha5176.png,2,1,8,1,4
captcha5177.png,9,3,9,8,2
captcha5178.png,5,0,9,7,6
captcha5179.png,9,8,3,9,2
captcha5180.png,4,1,0,4,4
captcha5181.png,8,8,4,6,0
captcha5182.png,8,7,3,1,6
